Undetected/Common1/Undetected/Name/<|>data/Stats/Patterns Data/UndetectedCommon1UndetectedName.txt<|>200
Common2/Name/Undetected/<|>data/Stats/Patterns Data/Common2NameUndetected.txt<|>169
Common1/Undetected/Common2/Undetected/Mobile/<|>data/Stats/Patterns Data/Common1UndetectedCommon2UndetectedMobile.txt<|>1
Common1/Undetected/Name/Name/Undetected/<|>data/Stats/Patterns Data/Common1UndetectedNameNameUndetected.txt<|>139
Common3/Location/Undetected/<|>data/Stats/Patterns Data/Common3LocationUndetected.txt<|>2
Common2/Mobile/<|>data/Stats/Patterns Data/Common2Mobile.txt<|>229
email_Name/Undetected/Common2/Undetected/<|>data/Stats/Patterns Data/emailNameUndetectedCommon2Undetected.txt<|>2
Common2/Undetected/Name/DOB/<|>data/Stats/Patterns Data/Common2UndetectedNameDOB.txt<|>19
Common1/Name/Undetected/<|>data/Stats/Patterns Data/Common1NameUndetected.txt<|>185
Name/Undetected/Undetected/Name/<|>data/Stats/Patterns Data/NameUndetectedUndetectedName.txt<|>72
Name/Undetected/DOB/<|>data/Stats/Patterns Data/NameUndetectedDOB.txt<|>48
Undetected/Common1/Common2/Common3/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon1Common2Common3Undetected.txt<|>2
Mobile/Common3/<|>data/Stats/Patterns Data/MobileCommon3.txt<|>2
Common3/Undetected/Mobile/<|>data/Stats/Patterns Data/Common3UndetectedMobile.txt<|>23
Undetected/Name/Name/Undetected/Name/Name/Location/<|>data/Stats/Patterns Data/UndetectedNameNameUndetectedNameNameLocation.txt<|>1
Common1/Undetected/Undetected/Common3/<|>data/Stats/Patterns Data/Common1UndetectedUndetectedCommon3.txt<|>132
Undetected/Common1/Common2/Undetected/Name/Mobile/<|>data/Stats/Patterns Data/UndetectedCommon1Common2UndetectedNameMobile.txt<|>1
Name/Undetected/Name/Undetected/Undetected/Name/<|>data/Stats/Patterns Data/NameUndetectedNameUndetectedUndetectedName.txt<|>1
Mobile/Undetected/<|>data/Stats/Patterns Data/MobileUndetected.txt<|>1802
Undetected/Common1/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon1NameUndetected.txt<|>356
Common2/Common3/Undetected/<|>data/Stats/Patterns Data/Common2Common3Undetected.txt<|>70
Name/Undetected/Name/Name/Undetected/<|>data/Stats/Patterns Data/NameUndetectedNameNameUndetected.txt<|>149
Undetected/Location/Name/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedLocationNameNameUndetected.txt<|>2
DOB/Undetected/<|>data/Stats/Patterns Data/DOBUndetected.txt<|>496
Common1/Undetected/Mobile/Undetected/Common2/<|>data/Stats/Patterns Data/Common1UndetectedMobileUndetectedCommon2.txt<|>1
DOB/Undetected/Common2/Undetected/<|>data/Stats/Patterns Data/DOBUndetectedCommon2Undetected.txt<|>4
Common2/Undetected/Undetected/Name/<|>data/Stats/Patterns Data/Common2UndetectedUndetectedName.txt<|>58
DOB/DOB/DOB/Undetected/DOB/<|>data/Stats/Patterns Data/DOBDOBDOBUndetectedDOB.txt<|>2
Name/Undetected/Common2/Undetected/<|>data/Stats/Patterns Data/NameUndetectedCommon2Undetected.txt<|>40
Undetected/Name/DOB/<|>data/Stats/Patterns Data/UndetectedNameDOB.txt<|>10
Name/Undetected/Common3/Undetected/Mobile/<|>data/Stats/Patterns Data/NameUndetectedCommon3UndetectedMobile.txt<|>2
Undetected/Common3/Name/Undetected/Name/<|>data/Stats/Patterns Data/UndetectedCommon3NameUndetectedName.txt<|>4
Common3/DOB/<|>data/Stats/Patterns Data/Common3DOB.txt<|>41
Undetected/Common1/Common2/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon1Common2Undetected.txt<|>66
Location/Name/Undetected/<|>data/Stats/Patterns Data/LocationNameUndetected.txt<|>21
Name/Undetected/Undetected/Location/<|>data/Stats/Patterns Data/NameUndetectedUndetectedLocation.txt<|>9
Common2/Undetected/Name/Undetected/DOB/<|>data/Stats/Patterns Data/Common2UndetectedNameUndetectedDOB.txt<|>19
Common1/Undetected/Name/Mobile/<|>data/Stats/Patterns Data/Common1UndetectedNameMobile.txt<|>4
Name/Undetected/Name/<|>data/Stats/Patterns Data/NameUndetectedName.txt<|>41
Undetected/Common1/Common2/Mobile/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon1Common2MobileUndetected.txt<|>4
Undetected/Common2/Undetected/Name/<|>data/Stats/Patterns Data/UndetectedCommon2UndetectedName.txt<|>56
Common2/Undetected/Mobile/Undetected/DOB/<|>data/Stats/Patterns Data/Common2UndetectedMobileUndetectedDOB.txt<|>21
Common2/Undetected/Common3/Name/Undetected/<|>data/Stats/Patterns Data/Common2UndetectedCommon3NameUndetected.txt<|>2
Common1/Undetected/Common2/Undetected/Location/<|>data/Stats/Patterns Data/Common1UndetectedCommon2UndetectedLocation.txt<|>2
Mobile/Undetected/Name/Undetected/<|>data/Stats/Patterns Data/MobileUndetectedNameUndetected.txt<|>16
Undetected/Common1/Name/Undetected/Name/Undetected/<|>data/Stats/Patterns Data/UndetectedCommon1NameUndetectedNameUndetected.txt<|>1
